title,genre,metaCritic,userScore
Divinity: Original Sin II - Definitive Edition (Switch),"Genre(s): Role-Playing,                                            Western-Style                                    ",93,8.7
Resident Evil 2 (XONE),"Genre(s): Action Adventure,                                            Survival                                    ",93,8.4
Sekiro: Shadows Die Twice (XONE),"Genre(s): Action Adventure,                                            General                                    ",91,8
Final Fantasy XIV: Shadowbringers (PC),"Genre(s): Role-Playing,                                            Massively Multiplayer                                    ",91,8.9
Final Fantasy XIV: Shadowbringers (PS4),"Genre(s): Role-Playing,                                            Massively Multiplayer                                    ",91,8.4
NieR: Automata - Game of the YoRHa Edition (PS4),"Genre(s): Role-Playing,                                            Action RPG                                    ",91,8.5
Resident Evil 2 (PS4),"Genre(s): Action Adventure,                                            Survival                                    ",91,8.8
Monster Hunter: World - Iceborne (XONE),"Genre(s): Role-Playing,                                            Action RPG                                    ",90,9.1
Tetris Effect (PC),"Genre(s): Puzzle,                                            Stacking                                    ",90,6.4
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition (Switch),"Genre(s): Role-Playing,                                            Japanese-Style                                    ",90,8.1
Sekiro: Shadows Die Twice (PS4),"Genre(s): Action Adventure,                                            General                                    ",90,8
Resident Evil 2 (PC),"Genre(s): Action Adventure,                                            Survival                                    ",89,9
Monster Hunter: World - Iceborne (PS4),"Genre(s): Role-Playing,                                            Action RPG                                    ",89,8.5
F1 2019 (XONE),"Genre(s): Racing,                                            Simulation,                                            Automobile                                    ",89,6.5
Devil May Cry 5 (PC),"Genre(s): Action Adventure,                                            General                                    ",89,8.7
Fire Emblem: Three Houses (Switch),"Genre(s): Strategy,                                            Turn-Based,                                            Tactics                                    ",89,8.7
Slay the Spire (PC),"Genre(s): Strategy,                                            Turn-Based,                                            Card Battle                                    ",89,6.8
Ori and the Blind Forest: Definitive Edition (Switch),"Genre(s): Action,                                            Platformer,                                            2D                                    ",89,8.6
Apex Legends (PS4),"Genre(s): Action,                                            Shooter,                                            First-Person,                                            Tactical                                    ",89,6.7
Sekiro: Shadows Die Twice (PC),"Genre(s): Action Adventure,                                            General                                    ",88,7.8
What Remains of Edith Finch (Switch),"Genre(s): Adventure,                                            3D,                                            First-Person                                    ",88,7.6
Apex Legends (PC),"Genre(s): Action,                                            Shooter,                                            First-Person,                                            Tactical                                    ",88,5.9
Devil May Cry 5 (PS4),"Genre(s): Action Adventure,                                            General                                    ",88,8.4
Slay the Spire (PS4),"Genre(s): Strategy,                                            Turn-Based,                                            Card Battle                                    ",88,5.6
Super Mario Maker 2 (Switch),"Genre(s): Action,                                            Platformer,                                            2D                                    ",88,8.4
Downwell (Switch),"Genre(s): Action,                                            General                                    ",88,7.1
Apex Legends (XONE),"Genre(s): Action,                                            Shooter,                                            First-Person,                                            Tactical                                    ",88,6.6
The Legend of Zelda: Link's Awakening (Switch),"Genre(s): Action Adventure,                                            Open-World                                    ",88,8.7
Devil May Cry 5 (XONE),"Genre(s): Action Adventure,                                            General                                    ",87,7.4
AI: The Somnium Files (Switch),"Genre(s): Action Adventure,                                            General                                    ",87,7.6
Baba Is You (PC),"Genre(s): Action Adventure,                                            Puzzle,                                            Action,                                            General                                    ",87,7.9
Cuphead (Switch),"Genre(s): Action,                                            Platformer,                                            2D                                    ",87,8.3
Astral Chain (Switch),"Genre(s): Action Adventure,                                            General                                    ",87,9
F1 2019 (PC),"Genre(s): Racing,                                            Simulation,                                            Automobile                                    ",87,6.9
