title,metaCritic,userScore
Pillars of Eternity: Complete Edition (Switch),83,2.4
Trials Rising (PC),83,4.7
Borderlands 3 (PC),83,5.3
Wreckfest (XONE),83,5.9
FAR: Lone Sails (PS4),83,6.2
Ape Out (PC),83,6.2
Crash Team Racing: Nitro-Fueled (PS4),83,6.5
Timespinner (Switch),83,7.4
Duck Game (Switch),83,7.6
Remnant: From the Ashes (XONE),83,7.6
Tales of Vesperia: Definitive Edition (Switch),83,7.7
Kingdom Hearts III (PS4),83,8.1
Ni no Kuni: Wrath of the White Witch (Switch),83,8.1
OlliOlli: Switch Stance (Switch),83,8.2
Tetris 99 (Switch),83,8.3
No Man's Sky Beyond (PS4),83,8.3
Collection of Mana (Switch),83,8.3
Bloodstained: Ritual of the Night (PS4),83,8.5
Bloodstained: Ritual of the Night (PC),83,8.6
Katana ZERO (PC),83,8.9
DiRT Rally 2.0 (PC),84,4.8
Wargroove (PS4),84,5.1
Crash Team Racing: Nitro-Fueled (XONE),84,5.2
DiRT Rally 2.0 (PS4),84,5.7
Tom Clancy's The Division 2 (PC),84,6.2
Ape Out (Switch),84,6.2
Telling Lies (PC),84,6.9
Control (XONE),84,7
Control (PC),84,7.1
Sega Ages: OutRun (Switch),84,7.3
Wargroove (Switch),84,7.4
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey (3DS),84,7.5
F1 2019 (PS4),84,7.5
Bloodstained: Ritual of the Night (XONE),84,7.8
VA-11 Hall-A: Cyberpunk Bartender Action (Switch),84,8
Baba Is You (Switch),84,8.2
Trials Rising (XONE),85,5.2
VA-11 Hall-A: Cyberpunk Bartender Action (PS4),85,5.7
Sayonara Wild Hearts (PS4),85,6.1
Guacamelee! 2 (XONE),85,6.6
Outer Wilds (PC),85,7.1
Age of Wonders: Planetfall (XONE),85,7.2
Devotion (PC),85,7.2
Outer Wilds (XONE),85,7.4
AMID EVIL (PC),85,7.5
Steins;Gate Elite (Switch),85,7.6
Slay the Spire (Switch),85,7.8
Total War: Three Kingdoms (PC),85,7.9
Dragon Quest Builders 2 (Switch),85,8.1
Final Fantasy XII: The Zodiac Age (Switch),85,8.4
Blaster Master Zero II (Switch),85,8.5
Gears 5 (XONE),85,8.6
Final Fantasy X / X-2 HD Remaster (XONE),85,8.6
Final Fantasy X / X-2 HD Remaster (Switch),85,8.6
Mortal Kombat 11 (XONE),86,2.9
NHL 20 (XONE),86,4.2
Fell Seal: Arbiter's Mark (PS4),86,6.5
Sunless Skies (PC),86,6.9
Steins;Gate Elite (PS4),86,7.1
Star Wars Pinball (Switch),86,7.6
Dragon Quest Builders 2 (PS4),86,7.7
MLB The Show 19 (PS4),86,7.8
BlazBlue: Central Fiction - Special Edition (Switch),86,8.3
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda (Switch),86,8.3
Assault Android Cactus+ (Switch),86,8.7
F1 2019 (PC),87,6.9
Devil May Cry 5 (XONE),87,7.4
AI: The Somnium Files (Switch),87,7.6
Baba Is You (PC),87,7.9
Ni no Kuni: Wrath of the White Witch Remastered (PS4),87,7.9
Cuphead (Switch),87,8.3
Astral Chain (Switch),87,9
Slay the Spire (PS4),88,5.6
Apex Legends (PC),88,5.9
Apex Legends (XONE),88,6.6
Downwell (Switch),88,7.1
What Remains of Edith Finch (Switch),88,7.6
Sekiro: Shadows Die Twice (PC),88,7.8
Devil May Cry 5 (PS4),88,8.4
Super Mario Maker 2 (Switch),88,8.4
The Legend of Zelda: Link's Awakening (Switch),88,8.7
F1 2019 (XONE),89,6.5
Apex Legends (PS4),89,6.7
Slay the Spire (PC),89,6.8
Monster Hunter: World - Iceborne (PS4),89,8.5
Ori and the Blind Forest: Definitive Edition (Switch),89,8.6
Devil May Cry 5 (PC),89,8.7
Fire Emblem: Three Houses (Switch),89,8.7
Resident Evil 2 (PC),89,9
Tetris Effect (PC),90,6.4
Sekiro: Shadows Die Twice (PS4),90,8
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition (Switch),90,8.1
Monster Hunter: World - Iceborne (XONE),90,9.1
Sekiro: Shadows Die Twice (XONE),91,8
Final Fantasy XIV: Shadowbringers (PS4),91,8.4
NieR: Automata - Game of the YoRHa Edition (PS4),91,8.5
Resident Evil 2 (PS4),91,8.8
Final Fantasy XIV: Shadowbringers (PC),91,8.9
Resident Evil 2 (XONE),93,8.4
Divinity: Original Sin II - Definitive Edition (Switch),93,8.7
